"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=008&sec=g&freq=M&start=200101&end=202308&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Sat Nov 25 2023 16:34:24 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023"
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New England",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-CT-99.M",2930,1853,2386,2280,2356,2661,2589,3064,2701,2606,2227,2837,2832,2198,2241,2271,2865,2738,3286,3062,2214,2493,2624,2487,2742,2535,2330,2457,2430,2420,2665,2802,2507,2102,1855,2699,3330,2515,2519,1802,2578,2889,3064,3224,2830,2561,2515,2807,3122,2634,2921,2122,2624,3054,3377,3442,2717,2166,2561,2810,2780,2598,3040,2577,2978,3159,3465,3283,2920,2461,2491,2929,2841,2746,2931,2110,2444,2825,3165,3249,2905,2686,2427,2843,2817,2535,2512,1999,2297,2657,3114,2823,2616,2395,1871,2775,2893,2609,2745,2461,2554,2466,2507,3155,2611,2376,2193,2637,2862,2478,2447,1818,2166,3058,3556,3200,3040,2856,2959,2910,3055,2701,2679,2095,2870,2872,3424,3330,2918,2417,2325,3060,2970,2749,2957,2756,2811,3085,3537,3279,3206,2762,2824,3181,3219,3028,3033,2409,2579,2946,3481,2996,2997,2895,2858,3169,3055,2758,3055,2439,2269,2899,3288,3261,2800,2121,2519,3213,3502,3240,3094,2844,2963,3012,3354,3426,3161,2622,2872,3381,3168,3040,3020,2685,2699,2644,3348,3404,3102,3088,3097,3201,3295,2766,2907,2117,2583,2829,3305,3243,2791,2474,2777,3475,3496,2892,3267,3012,2958,3356,3767,3885,3343,2863,2922,3694,3440,3061,3246,2578,2796,3407,4116,3852,3329,3094,3433,3698,3761,3516,3464,2932,2659,3706,4308,3968,3599,2460,3097,3721,3672,3490,3760,3243,3487,3731,4009,4219,3723,2972,3951,3822,3633,3468,3751,2586,2529,3712,4343,4368,3923,3528,3680,3533,3739,3260,3797,2891,2560,2606,4174,3975
"Connecticut : coal","thousand megawatthours","ELEC.GEN.COW-CT-99.M",328,355,381,302,309,331,346,353,295,157,276,304,330,307,271,278,230,300,351,217,132,136,298,376,389,380,330,357,352,380,339,381,350,388,193,361,401,371,384,319,364,357,378,386,295,246,367,388,403,360,326,312,391,332,375,390,251,157,293,405,374,350,392,274,385,387,368,403,370,231,344,404,393,364,340,295,346,370,380,371,331,121,134,294,382,370,363,277,331,378,392,396,398,390,349,360,333,308,170,124,135,127,154,214,130,247,152,361,358,224,105,144,159,268,329,326,179,135,100,277,191,60,-2,-1,-1,57,161,63,-1,-1,0,0,75,46,43,37,48,58,70,63,47,42,47,76,118,185,2,-2,-1,24,96,-2,7,-1,46,209,172,221,232,34,-1,2,51,-2,-2,-2,110,11,205,224,157,2,-2,0,13,-3,0,7,0,-3,44,14,-3,-2,-2,-2,10,12,21,-2,-1,89,40,-2,41,-2,2,7,9,-1,3,-1,-1,104,166,22,-3,45,-2,0,16,3,6,-2,35,43,47,2,16,-2,-2,-1,0,1,-2,-1,-2,-3,-2,-2,-2,-2,-2,-2,0,-2,-1,-1,-1,-1,133,115,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Connecticut : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-CT-99.M",924,485,805,294,391,449,303,636,152,200,142,393,282,189,300,126,122,93,266,347,240,219,101,53,383,353,238,51,17,112,224,240,35,44,124,242,675,53,92,84,50,126,139,179,69,42,23,206,527,64,244,198,17,276,337,403,286,450,51,302,38,52,48,30,42,103,223,185,99,200,165,95,178,206,187,61,62,85,85,100,70,87,13,176,34,41,89,36,33,79,64,15,10,11,10,93,167,1,11,9,-1,6,22,58,3,1,4,17,9,8,12,6,40,34,124,82,63,-0,5,24,53,8,5,1,1,22,36,20,12,2,5,2,0,1,6,2,8,35,29,14,2,9,4,2,93,66,1,1,1,5,39,7,4,0,3,88,298,86,97,-0,-0,2,4,9,4,1,3,11,12,372,3,7,4,-2,20,7,15,2,-3,2,5,2,-1,1,16,2,16,30,4,-1,2,16,5,3,8,1,1,10,8,7,3,4,1,127,282,-0,-1,0,2,38,8,7,3,-1,2,-1,4,-0,1,1,0,2,2,0,1,1,0,1,-1,4,-2,-0,1,5,1,2,1,0,-1,21,2,23,-1,1,1,4,2,10,4,1,1,-1,116,56,1,1,1,12,18,6,"NM",1,"NM",102,"NM",37,9,6,36,10,12,"NM"
"Connecticut : petroleum coke","thousand megawatthours","ELEC.GEN.PC-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--",0,0,0,0,"--","--","--",0
"Connecticut : natural gas","thousand megawatthours","ELEC.GEN.NG-CT-99.M",126,211,340,80,145,260,317,527,675,615,292,501,579,544,644,545,831,748,1029,1057,956,739,591,606,349,290,484,402,374,321,439,530,510,438,523,401,370,546,536,582,804,795,878,962,881,623,560,572,511,702,682,825,944,808,979,985,619,678,594,536,682,725,916,822,855,1024,1186,1011,838,910,766,751,691,676,742,804,902,765,1062,1143,919,841,671,714,737,568,383,574,729,632,1023,753,622,896,572,581,658,733,842,639,672,662,1062,1161,827,940,744,869,944,734,611,576,848,1084,1396,1193,1153,998,1266,912,1085,1100,949,980,1173,1192,1515,1591,1558,1390,1344,1309,1186,1114,1177,1055,1044,1329,1763,1778,1539,1557,1606,1390,1291,1230,1318,1239,1414,1236,1632,1449,1349,1211,1240,1171,879,960,1016,1270,1169,1305,1631,1554,1173,1024,1245,1456,1574,1107,1243,1319,1252,1352,1620,1733,1520,1517,1460,1664,1563,1433,1315,1673,1499,1350,1634,1756,1446,1426,1455,1402,1555,1245,1177,1070,975,1159,1591,1564,1173,1378,1542,1534,1334,1307,1551,1302,1254,1674,2052,2191,1790,1804,1833,1915,1677,1501,1512,1652,1568,1737,2423,2166,1704,1417,1777,2210,2034,1906,1728,1770,1564,2163,2606,2304,1975,1643,1815,2028,1951,1802,2019,1546,1737,2300,2278,2517,2056,1774,2422,2088,1941,1851,2011,1590,1697,2173,2635,2691,2308,1848,2049,1735,2065,1736,2103,1756,1501,2441,2559,2278
"Connecticut : other gases","thousand megawatthours","ELEC.GEN.OOG-CT-99.M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,3,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
