"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=0000g&sec=g&freq=M&start=200101&end=202308&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat Nov 25 2023 16:34:47 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023"
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East North Central",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-IL-99.M",16039,13914,14882,13320,14605,15411,17030,16995,14281,13842,13907,15023,14564,13653,14961,13795,14509,16667,19085,18597,16442,15228,14614,15940,17232,15207,15647,14030,14340,15214,17593,18652,15630,14667,14618,16225,16933,15286,15168,14179,15881,16387,17500,16987,16165,15269,15037,17165,17400,14138,14590,14067,14775,17407,18365,18450,16435,15713,14909,17871,16397,14443,15437,13553,15172,16268,18592,18511,15496,16022,15682,16854,18125,16349,16616,14416,15080,16846,18010,19287,16924,15906,15470,17231,17073,15951,16331,15039,14955,17228,18477,18245,16251,16246,16365,17314,17512,15166,15771,15160,15025,16375,17040,17252,15542,15305,15670,18048,17769,15755,16641,14423,15480,17016,18950,18582,16222,16015,16315,18184,17879,15667,16496,14695,15053,17129,19259,18279,15775,15942,16433,16893,17841,15826,15254,14695,15830,17274,19103,17586,15089,15416,16051,17599,18272,16389,17246,14925,15920,16569,18069,17891,16533,16352,16459,18380,19117,16250,17286,15271,14906,16766,17416,17752,15943,15825,17667,17946,17956,16106,15989,14463,15127,16615,17998,17200,15888,15635,15241,15735,17056,14348,14241,14324,13611,16349,18096,17666,15904,14855,13725,17114,16791,13498,14891,14501,13891,15683,17007,15611,14913,14835,15380,16591,17682,14656,15860,13297,15159,16016,17352,17433,15386,14209,15150,15804,17609,14813,15658,14361,14644,15003,17390,15825,14433,13929,15189,15615,15345,14159,13919,12730,13356,14652,16989,15213,13187,13715,14138,15991,16174,14678,13299,13200,14904,15910,16837,17460,14646,13517,14991,16022,17211,14988,15222,14149,14905,15729,16421,16381,14514,14236,15088,16380,15451,13831,14102,12940,13194,14849,17114,16536
"Illinois : coal","thousand megawatthours","ELEC.GEN.COW-IL-99.M",7540,6268,6274,5644,6189,6796,7760,7983,6573,5857,5992,6677,6888,6350,6840,6232,6562,7547,8550,8544,7862,7292,6753,7266,8426,7296,6596,5977,5915,7037,8463,8722,7398,6725,7353,8073,8732,8088,7258,6179,7398,7708,8593,8191,7964,7434,7927,8929,8476,7099,7379,6303,6437,8098,8526,8562,8072,7235,7167,8912,8029,7556,7515,5732,6622,7388,8671,8821,7516,7986,7779,8035,9112,8062,8113,6488,6481,7950,8570,8874,8012,8040,7278,8285,8765,8339,8134,6993,6436,8183,8895,9025,7719,7887,7920,8348,8356,7006,6523,6917,6643,7254,8067,8036,7290,7563,7457,8855,8935,8190,7899,6085,6216,7672,8734,8812,7212,7562,7746,8547,8261,7584,7508,6249,6305,8044,8792,8496,6948,7075,7042,7710,7481,6738,5414,5219,6218,6859,8099,7653,6205,6295,7079,7566,7813,7593,7272,6215,5893,7092,7818,7976,7708,7369,6747,8432,8232,7702,7911,6461,5572,6989,7689,8191,6546,6593,7699,7698,7380,7265,6548,4751,5303,6675,7472,7220,6246,5486,4936,4492,5721,4114,3542,4127,3657,5962,6413,6390,5586,4637,3284,5904,5764,4054,4627,4173,4025,4984,5830,5099,4831,4429,5048,5115,5859,4817,5075,3674,4559,5274,5798,6013,5230,4030,4626,4686,5865,4533,4491,3129,3388,3614,4843,4190,3974,3489,4177,3096,2641,2588,1752,1479,1880,2671,3998,3498,2105,2297,2719,3611,4037,4109,2222,2784,3707,4195,4756,4665,3754,2926,3003,3142,4435,3814,3611,3376,2705,3523,4085,3846,2553,2189,2783,3640,2545,2141,1990,1825,1864,2140,2902,2897
"Illinois : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-IL-99.M",16,78,173,252,26,235,351,223,107,6,10,15,35,7,9,17,12,12,42,21,30,16,9,12,218,261,166,79,13,48,73,182,9,10,11,50,175,149,120,69,10,56,10,25,8,15,11,12,20,11,11,22,15,27,30,34,13,12,14,18,10,9,4,8,7,10,23,15,9,8,7,11,8,16,10,11,9,9,10,7,11,14,15,12,16,14,12,12,13,10,8,11,12,10,13,12,13,3,14,11,8,12,9,10,6,10,8,7,9,8,10,9,10,10,9,12,9,8,8,8,11,5,5,5,9,8,7,4,6,8,7,9,5,7,5,6,6,5,6,5,5,7,9,5,8,3,5,5,11,7,7,6,5,5,6,4,8,9,10,6,8,6,6,7,7,5,7,7,4,4,4,4,4,5,4,5,6,4,5,6,9,9,6,7,8,5,4,5,3,4,4,6,6,5,6,5,6,4,3,3,3,4,3,4,3,3,5,5,5,4,4,5,4,6,5,4,3,3,4,4,4,4,3,3,3,5,3,3,2,3,2,-4,3,4,4,5,3,3,2,4,4,8,2,4,4,4,6,4,5,3,5,4,6,2,3,2,3,4,2,3,2,1,3,6,2,2,2,1,3,1,2,1
"Illinois : petroleum coke","thousand megawatthours","ELEC.GEN.PC-IL-99.M",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,15,28,31,25,22,23,11,7,1,1,1,1,2,1,4,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Illinois : natural gas","thousand megawatthours","ELEC.GEN.NG-IL-99.M",138,260,177,211,363,372,852,1074,290,321,269,280,291,377,545,827,406,1061,2409,1710,825,278,161,190,325,332,252,214,188,300,588,1077,181,142,136,167,222,201,168,99,495,521,603,530,273,79,68,133,405,182,434,419,272,1194,1355,1380,741,301,184,247,113,134,176,379,451,524,1386,1214,219,282,245,157,295,576,372,396,577,693,832,1914,670,627,276,313,386,305,221,169,141,528,909,567,327,169,169,370,530,305,375,367,326,656,400,709,445,144,110,128,314,209,162,156,402,716,1384,1489,312,110,111,357,369,256,322,327,589,557,1660,920,313,212,172,259,620,841,946,1081,851,1466,2381,1127,777,319,460,320,419,421,792,681,494,456,1246,875,518,240,353,331,676,162,231,187,631,555,397,739,461,580,385,462,823,727,800,740,600,907,1321,982,1076,879,909,1100,1117,1156,1557,1171,1117,1564,2544,2246,1502,1415,1044,1051,1006,1031,1264,1003,1114,1615,1993,1480,1251,1103,787,1371,1353,916,1435,778,1564,1715,2248,2161,1816,1112,1247,896,1378,1239,1378,1656,1394,1807,3175,2617,1720,1488,1414,2081,2518,2215,2280,1680,1453,2431,3682,2547,1559,1664,758,1729,1640,1056,1266,1131,924,2131,2577,3239,1613,1910,1681,1495,1641,975,1062,505,1308,2192,2528,2622,2342,1607,1420,1588,1977,1799,1594,927,1586,2693,4428,3627
"Illinois : other gases","thousand megawatthours","ELEC.GEN.OOG-IL-99.M",28,27,30,28,29,31,33,33,29,29,29,30,18,17,19,17,18,21,24,23,20,19,18,20,19,16,17,15,15,16,19,20,17,16,16,17,20,20,21,22,19,19,19,19,20,24,22,21,19,16,19,16,18,17,16,16,17,17,16,12,7,16,17,15,11,14,12,10,8,17,8,13,15,14,15,11,13,7,7,12,11,13,10,7,4,4,4,4,4,6,6,8,4,4,3,4,10,12,6,3,5,11,13,7,9,1,7,5,7,9,6,13,9,13,25,21,2,13,22,21,30,27,28,5,29,28,33,35,29,12,30,32,28,28,28,9,27,23,26,30,24,18,25,29,64,19,23,22,28,27,33,28,26,19,32,34,26,28,37,29,34,32,33,37,28,5,27,21,28,12,20,21,23,19,33,27,32,7,14,44,23,23,14,13,3,8,23,24,22,17,18,14,17,19,12,18,21,3,14,18,18,14,13,14,5,16,14,16,6,17,30,27,16,18,11,25,23,24,37,16,0,19,24,24,16,18,40,20,15,28,15,36,42,22,25,22,19,18,20,22,24,13,25,14,9,25,25,19,19,25,20,22,14,20,15,24,21,28,24,28,20,14,16,39,23,25,15,12,14,26,23,31
