"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=0002&sec=g&freq=M&start=200101&end=202308&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat Nov 25 2023 16:35:41 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023"
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Middle Atlantic",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-NY-99.M",12622,11460,12115,10734,11132,13038,13128,14720,11583,11420,10518,11447,11538,10199,10715,10114,11131,12339,14116,14179,12147,11030,10420,11664,12117,10944,11245,10151,10269,11384,13222,13437,11328,10850,10662,12034,12969,11217,11132,10094,11598,12047,12891,12552,11483,9911,10261,11809,12644,10769,11555,10513,10358,13235,14735,15331,13031,11364,10829,12524,11600,10813,11511,10046,10981,12462,15400,14588,11501,11167,10943,11253,12699,12336,12105,10946,11669,12545,13460,14407,12174,11330,10256,11951,11962,10741,11389,9515,10756,12658,14220,12665,11565,11272,11407,12172,12518,10571,11004,10265,10697,10605,11913,12982,10509,10312,10270,11504,11155,10319,10245,9105,10725,12238,14577,13571,11770,10655,10678,11925,11333,10119,10860,9971,10474,12078,14531,12962,11611,11374,10836,11331,11476,10750,10232,9844,10835,11794,14406,13421,10806,10587,10405,11211,11863,10842,10921,10032,10927,11431,14312,12085,10560,10443,10927,11774,12560,11270,11273,9716,10504,11818,12996,12019,11131,11034,11171,11586,11755,11208,11090,9948,11211,11447,13384,13385,12077,11563,10771,10744,11232,10548,10306,9508,10707,11305,13614,14264,11608,10466,9921,10899,10484,9283,10343,9060,9905,11159,12736,12102,11085,10537,10132,11199,11982,9149,10128,9267,10342,11116,13353,13482,10847,10975,10763,11117,11616,10227,9549,8967,9925,10778,13925,12890,11069,10523,10604,11529,11239,10338,10167,9013,9073,11075,13882,12812,10726,10078,10322,10707,10936,9514,10068,8862,9475,11257,11858,12554,10045,9723,10023,10458,11000,9369,9203,9489,10467,10704,12972,12615,9275,9467,9943,10682,10167,9397,9354,8411,9719,10665,13464,11769
"New York : coal","thousand megawatthours","ELEC.GEN.COW-NY-99.M",2453,2158,2272,1809,1690,2001,2235,2361,1531,1708,1410,1804,1912,1556,1724,1612,1591,1901,2000,2264,2179,2181,2101,2218,2251,2114,2012,1747,1539,1835,2212,2072,1930,1893,1889,2086,2076,2156,2001,1762,1747,1994,2136,2039,1924,1698,1569,1750,1689,1625,1793,1533,1110,1704,2046,1987,1843,1664,1702,1902,1855,1795,1883,1567,1602,1783,2151,2030,1621,1477,1513,1692,1943,1935,1873,1694,1606,1740,1873,1952,1690,1574,1686,1840,1885,1751,1790,1359,1370,1649,1780,1716,1594,1459,1442,1358,1547,1473,1257,822,845,1019,961,1213,964,779,675,1203,1491,1382,992,599,841,1215,1461,1487,1239,785,687,1403,1335,1145,714,648,676,978,1222,990,739,482,231,265,586,363,92,52,149,257,824,694,299,364,454,417,585,658,608,243,374,289,577,261,177,193,165,567,831,758,788,408,166,379,353,207,194,153,167,187,316,560,251,64,122,250,212,179,142,114,82,87,157,218,43,49,126,149,324,371,143,82,23,87,120,69,84,44,81,66,55,25,57,11,44,115,246,14,124,0,2,13,125,42,52,3,3,67,212,55,66,9,0,1,43,36,0,0,0,0,21,26,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New York : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-NY-99.M",2756,1916,2042,1602,1487,1501,1140,1509,605,544,673,720,847,525,742,748,911,1009,1397,1294,631,689,1138,1506,1811,1855,1662,1845,944,1588,1904,2203,1154,1212,1061,1964,3442,1870,1828,1726,1390,1711,2074,1754,1093,1081,1176,1842,2515,1525,1694,1306,708,1980,2215,2917,2355,1846,1253,2445,1142,957,396,239,133,390,815,812,78,302,472,588,1202,2058,990,713,360,477,488,542,337,196,113,466,486,311,96,40,58,415,507,190,130,47,341,966,1361,215,137,38,29,98,140,237,44,19,17,153,226,61,40,37,52,196,391,212,96,22,22,134,226,56,41,24,38,122,220,79,41,30,21,29,31,22,20,10,26,83,190,87,27,24,40,19,296,96,28,22,50,85,251,41,54,18,19,47,1209,426,337,9,8,18,30,23,16,15,22,25,342,1258,96,12,17,15,38,41,36,14,6,16,97,230,16,16,8,10,61,97,27,9,11,62,33,33,23,11,9,23,8,14,9,9,10,416,1360,29,12,28,28,9,32,50,19,2,12,8,351,69,5,0,6,1,20,12,2,-0,5,41,39,26,28,12,27,16,40,30,21,17,34,60,126,127,10,33,0,27,32,197,105,5,9,17,997,119,29,4,10,9,64,57,21,11,9,526,13,162,28,"NM","NM",12,38,14
"New York : petroleum coke","thousand megawatthours","ELEC.GEN.PC-NY-99.M",0,1,0,0,0,0,1,1,5,0,0,9,9,7,6,4,9,7,10,9,10,10,10,8,6,1,6,6,4,8,9,10,9,14,8,10,17,18,19,12,19,19,16,23,19,20,18,20,105,96,117,118,38,95,118,121,113,111,117,105,103,33,39,44,21,27,12,54,18,36,37,31,55,14,25,25,10,10,13,32,39,9,11,11,13,12,11,11,9,12,13,13,13,13,19,19,18,10,2,0,0,0,44,41,42,0,0,2,5,52,52,70,62,56,118,9,12,28,0,52,36,25,134,"NM",5,"NM",30,15,"NM","NM",0,"NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"--",0,0,0,0,"--","--",0,"--","--",0,"--","--",0,"--","--","--",0,"--","--","--",0,"--","--",0,"--",0,"--","--",0,0,"--",0,0,0,"--",0,0,0,0
"New York : natural gas","thousand megawatthours","ELEC.GEN.NG-NY-99.M",1900,1855,2097,2057,3071,3925,4361,5451,4193,3772,2847,3167,2816,2560,2626,2513,2451,3487,4843,4997,3957,3204,2528,2470,2181,1915,2165,2056,1840,2292,3485,3932,2922,2077,1677,1614,1631,1764,1703,1664,2654,2602,2744,2958,3323,2099,2158,1993,1948,1733,2293,2069,2342,3570,4721,4576,3265,1979,1608,1769,1957,2029,3129,2779,3407,4305,6122,5440,3877,3849,2691,2548,2759,2563,3681,3205,3524,4356,5123,5993,4419,3735,2955,3321,3091,2827,3283,3044,2951,4335,5535,4455,4166,3791,3303,3075,3054,2877,3455,3425,3232,3438,4170,5096,3487,3141,3141,3263,3143,2967,3017,3257,3504,4600,6271,5654,5114,3801,4008,3579,3446,3162,3946,3482,3770,4439,6426,5562,4513,4224,3745,4089,4084,3893,3766,4117,5103,5796,7502,6585,4948,4691,4676,4301,4108,4214,4396,3642,4273,4959,7221,5345,4204,3603,3885,4503,3900,4123,4363,3619,3887,5109,5984,5483,5109,4307,4065,4430,4260,3572,4910,3545,4853,4785,6332,6380,5774,4806,3918,3789,4098,3579,3916,4119,4646,5267,6835,7383,5345,3898,3568,4139,3827,3276,3735,3082,3381,4402,5581,5198,4426,3503,3122,3737,3428,2909,3192,3324,3738,4349,6296,6699,5035,4318,3758,3764,3776,3583,3337,2928,2823,3804,6675,5709,4023,3386,3575,3992,3977,3732,3616,2591,2917,4975,7560,6618,4984,3881,3941,4174,4404,3818,3653,3051,4002,5789,6380,6980,4636,4614,4475,4540,4472,4174,4036,4240,5015,5287,7440,7355,4788,4454,4560,4492,4452,4021,3873,3663,4068,5445,7932,6181
"New York : other gases","thousand megawatthours","ELEC.GEN.OOG-NY-99.M",7,8,9,10,10,11,10,11,9,10,10,10,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
