"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=000000000002&sec=g&freq=M&start=200101&end=202308&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Sat Nov 25 2023 16:37:33 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023"
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pacific Contiguous",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-OR-99.M",4150,3718,4209,3784,3928,3634,3244,3511,3328,3470,3655,4420,4768,4253,4198,3895,4003,4237,3457,3437,3502,3654,3807,3887,4455,4020,4509,4069,3667,4178,3991,3840,3812,3912,4085,4429,4925,4491,4662,4042,3946,3832,3727,3790,4152,4244,4491,5080,4899,4410,4587,4167,3805,3720,3768,3620,3762,4104,4021,4462,4882,4683,4791,4449,4551,4332,4466,3849,3976,4212,3945,5204,5613,4555,5071,4416,4253,4421,4245,4089,4122,4257,4580,5456,5845,5222,5603,4791,4920,4929,4514,4200,4226,4499,4618,5350,5815,4713,5319,4597,4246,4625,4149,4199,4467,4535,4778,5249,4959,4483,4931,4354,3851,4889,4459,4246,4341,4539,4863,5213,5724,5083,5486,4922,4892,5168,4943,4244,4511,4391,4935,5396,5728,5456,5832,4983,5140,4663,5180,4537,4771,4529,4599,5514,6168,5169,5304,5144,4725,4576,4712,4536,4499,4496,4881,5686,5519,4978,5840,4623,4930,4910,5020,4558,4637,4428,5119,5557,5501,5090,5349,4378,4049,4342,4642,4549,4694,4518,5105,5652,5452,5247,6057,5162,4661,4556,4576,4725,4928,4255,4540,6025,6330,5117,5315,5048,5064,5223,5619,5103,5003,4682,4536,5672,5910,5617,6056,5326,5188,5243,5788,5365,5012,4158,5017,5433,5587,5104,5646,5109,4597,5088,5476,5473,5074,4673,4940,5491,6045,6155,5943,4767,4560,4825,5658,5676,5000,4856,4958,5180,5643,5570,5351,4593,4323,5058,5470,5304,4485,4439,4784,5997,5955,5493,5515,4563,4398,4579,5405,5610,5025,4240,5014,5520,5383,5191,5155,4308,5252,4774,5110,5225
"Oregon : coal","thousand megawatthours","ELEC.GEN.COW-OR-99.M",389,369,418,403,233,259,410,390,391,415,351,416,398,368,366,204,319,0,127,374,392,414,403,416,366,365,408,399,17,379,403,405,389,410,399,366,395,382,412,377,-0,-1,19,343,414,433,387,395,437,388,367,403,22,401,377,374,401,302,-2,-4,-4,-6,-3,-2,42,1,403,412,335,371,388,434,406,313,370,323,52,411,425,410,411,380,421,432,357,403,396,325,0,185,371,419,351,417,404,417,397,382,408,38,0,89,0,299,334,420,412,420,401,382,419,356,18,123,376,418,395,420,410,406,348,301,241,102,0,119,254,373,401,408,391,397,365,364,68,0,0,0,104,259,345,402,384,344,405,358,378,188,94,345,6,411,375,401,395,402,405,352,203,16,19,97,317,377,405,404,345,253,26,0,0,0,0,279,323,367,354,351,302,375,308,0,0,0,0,102,255,357,355,153,0,369,372,182,0,0,0,0,272,332,348,183,0,40,0,0,0,0,0,30,282,195,336,104,117,413,393,263,149,0,0,0,314,348,289,225,240,348,354,140,134,0,0,0,195,348,348,111,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-OR-99.M",56,37,1,0,0,1,0,0,0,0,6,0,1,0,2,1,1,0,2,0,0,0,0,0,1,17,12,0,2,4,3,3,2,0,0,1,39,3,0,1,0,0,6,1,0,1,8,3,9,7,3,4,0,0,10,1,1,1,11,30,1,-0,0,0,1,0,0,0,0,1,3,5,1,4,3,2,1,0,0,0,0,0,1,1,11,0,-0,0,0,1,0,0,0,-0,0,1,1,2,3,-0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,2,0,1,1,1,1,0,1,1,2,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1,1,0,0,0,0,2,1,3,1,0,1,0,0,0,0,0,1,1,"NM",0,0,1,0,1,0,1,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"NM","NM","NM","NM","NM","NM","NM","NM"
"Oregon : petroleum coke","thousand megawatthours","ELEC.GEN.PC-OR-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : natural gas","thousand megawatthours","ELEC.GEN.NG-OR-99.M",846,775,876,782,764,862,852,1165,1054,1068,908,1031,937,844,835,323,306,457,288,692,778,806,753,795,1149,788,549,222,183,398,1253,1276,1301,1151,1088,888,1234,1171,909,889,757,646,1295,1384,1268,1286,1416,1268,1239,1143,1290,1225,296,451,1049,1345,1239,1311,1238,1365,573,828,963,156,143,400,1394,1387,1400,1474,1073,1446,1280,1212,515,623,465,1043,1434,1669,1635,1590,1585,1806,1882,1747,1711,1631,782,188,1080,1713,1632,1704,1531,1787,1369,1566,1545,683,213,309,1587,1845,1914,1709,1627,1766,1603,1497,1607,1376,514,83,1145,1685,1644,1489,1537,1473,894,506,377,368,190,120,282,698,1123,923,1335,1682,1647,1549,1070,448,199,158,533,1004,1511,1522,1178,804,1457,1306,1461,683,397,507,1188,1551,1278,1307,1458,1771,1672,1471,397,311,364,318,1111,1499,1582,1412,1338,1223,1159,581,864,1072,1009,1439,1759,1681,1690,1598,1621,1764,1496,1339,1016,413,473,1121,1485,2006,1892,1140,1125,1800,1944,1013,403,220,186,295,1666,2094,1738,1792,1594,2121,1548,1116,1672,910,280,711,2055,2209,2035,1649,1812,1925,2048,1817,1973,1180,335,1184,2061,2300,2134,1895,1771,2234,2052,1618,2224,1785,268,365,1324,1898,2031,1838,1682,1934,1786,1681,1854,1647,906,1432,2108,2200,2098,1824,1819,1941,1895,1643,1448,1653,787,253,1148,2024,2124,1771,1942,2367,2085,1941,1992,1722,720,1627,2106,2298
"Oregon : other gases","thousand megawatthours","ELEC.GEN.OOG-OR-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
