"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
16619,200,264,196,10192,98,2380,1590,1717,133,1086,492,313,178,-36,18,NA,NA,7,NA,NA,2001-01-01,"California"
14380,184,176,179,8871,102,2230,1290,1505,148,951,393,225,168,-173,17,NA,NA,13,NA,NA,2001-02-01,"California"
15849,102,120,164,9474,103,2469,1765,1788,300,1053,404,230,174,-153,16,NA,NA,31,NA,NA,2001-03-01,"California"
15841,206,90,162,9209,92,2319,2096,1797,393,966,400,240,160,-144,13,NA,NA,39,NA,NA,2001-04-01,"California"
16875,200,103,168,9699,108,1668,3045,1832,378,960,413,238,175,35,16,NA,NA,81,NA,NA,2001-05-01,"California"
18072,216,55,170,9350,100,3101,3054,1983,438,960,493,316,177,25,18,NA,NA,91,NA,NA,2001-06-01,"California"
19795,224,47,193,10846,107,3295,3002,2064,440,1048,483,298,185,-1,18,NA,NA,92,NA,NA,2001-07-01,"California"
20307,226,20,168,11506,102,3280,2809,2041,408,1037,510,319,190,136,19,NA,NA,85,NA,NA,2001-08-01,"California"
16853,183,16,153,9413,79,3164,2028,1843,293,1020,466,289,177,-42,16,NA,NA,65,NA,NA,2001-09-01,"California"
15929,137,15,202,8943,67,2961,1819,1759,253,1022,463,286,177,9,17,NA,NA,21,NA,NA,2001-10-01,"California"
13419,143,15,176,7011,66,3068,1357,1611,143,1022,431,271,159,-44,16,NA,NA,14,NA,NA,2001-11-01,"California"
14658,211,15,189,7418,106,3287,1685,1690,172,1055,460,298,161,39,19,NA,NA,4,NA,NA,2001-12-01,"California"
14591,203,8,142,6687,103,3247,2516,1812,131,1148,521,364,158,-162,34,NA,NA,11,NA,NA,2002-01-01,"California"
12655,184,18,104,5888,79,2869,1921,1627,153,1010,440,296,144,-65,31,NA,NA,24,NA,NA,2002-02-01,"California"
15789,213,7,156,7704,116,3227,2452,1934,267,1118,505,330,175,-54,34,NA,NA,44,NA,NA,2002-03-01,"California"
