"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
2930,328,924,NA,126,0,1366,38,75,NA,NA,75,NA,75,0,75,NA,NA,NA,NA,NA,2001-01-01,"Connecticut"
1853,355,485,NA,211,0,621,33,77,NA,NA,77,NA,77,0,71,NA,NA,NA,NA,NA,2001-02-01,"Connecticut"
2386,381,805,NA,340,0,643,33,96,NA,NA,96,NA,96,0,88,NA,NA,NA,NA,NA,2001-03-01,"Connecticut"
2280,302,294,NA,80,0,1369,60,92,NA,NA,92,NA,92,0,83,NA,NA,NA,NA,NA,2001-04-01,"Connecticut"
2356,309,391,NA,145,0,1342,25,72,NA,NA,72,NA,72,0,72,NA,NA,NA,NA,NA,2001-05-01,"Connecticut"
2661,331,449,NA,260,0,1441,41,71,NA,NA,71,NA,71,0,67,NA,NA,NA,NA,NA,2001-06-01,"Connecticut"
2589,346,303,NA,317,0,1465,15,72,NA,NA,72,NA,72,0,71,NA,NA,NA,NA,NA,2001-07-01,"Connecticut"
3064,353,636,NA,527,0,1397,9,72,NA,NA,72,NA,72,0,69,NA,NA,NA,NA,NA,2001-08-01,"Connecticut"
2701,295,152,NA,675,0,1435,8,69,NA,NA,69,NA,69,0,67,NA,NA,NA,NA,NA,2001-09-01,"Connecticut"
2606,157,200,NA,615,0,1491,8,69,NA,NA,69,NA,69,0,66,NA,NA,NA,NA,NA,2001-10-01,"Connecticut"
2227,276,142,NA,292,0,1373,6,70,NA,NA,70,NA,70,0,69,NA,NA,NA,NA,NA,2001-11-01,"Connecticut"
2837,304,393,NA,501,0,1485,11,73,NA,NA,73,NA,73,0,71,NA,NA,NA,NA,NA,2001-12-01,"Connecticut"
2832,330,282,NA,579,0,1477,32,67,NA,NA,67,NA,67,-2,67,NA,NA,NA,NA,NA,2002-01-01,"Connecticut"
2198,307,189,NA,544,0,1020,19,59,NA,NA,59,NA,59,0,59,NA,NA,NA,NA,NA,2002-02-01,"Connecticut"
2241,271,300,NA,644,9,850,24,73,NA,NA,73,NA,73,0,71,NA,NA,NA,NA,NA,2002-03-01,"Connecticut"
2271,278,126,NA,545,0,1160,34,67,NA,NA,67,NA,67,-5,66,NA,NA,NA,NA,NA,2002-04-01,"Connecticut"
2865,230,122,NA,831,0,1497,46,71,NA,NA,71,NA,71,0,67,NA,NA,NA,NA,NA,2002-05-01,"Connecticut"
2738,300,93,NA,748,0,1421,38,70,NA,NA,70,NA,70,-1,69,NA,NA,NA,NA,NA,2002-06-01,"Connecticut"
3286,351,266,NA,1029,0,1484,13,73,NA,NA,73,NA,73,-1,70,NA,NA,NA,NA,NA,2002-07-01,"Connecticut"
3062,217,347,NA,1057,0,1292,8,71,NA,NA,71,NA,71,0,69,NA,NA,NA,NA,NA,2002-08-01,"Connecticut"
2214,132,240,NA,956,0,750,7,66,NA,NA,66,NA,66,0,65,NA,NA,NA,NA,NA,2002-09-01,"Connecticut"
2493,136,219,NA,739,0,1252,14,66,NA,NA,66,NA,66,0,66,NA,NA,NA,NA,NA,2002-10-01,"Connecticut"
2624,298,101,NA,591,0,1454,47,68,NA,NA,68,NA,68,0,67,NA,NA,NA,NA,NA,2002-11-01,"Connecticut"
2487,376,53,NA,606,0,1260,54,71,NA,NA,71,NA,71,0,68,NA,NA,NA,NA,NA,2002-12-01,"Connecticut"
2742,389,383,NA,349,0,1448,47,62,NA,NA,62,0,62,0,64,NA,NA,NA,NA,NA,2003-01-01,"Connecticut"
2535,380,353,NA,290,0,1365,31,60,NA,NA,60,0,60,0,57,NA,NA,NA,NA,NA,2003-02-01,"Connecticut"
2330,330,238,NA,484,0,1088,58,67,NA,NA,67,NA,67,0,64,NA,NA,NA,NA,NA,2003-03-01,"Connecticut"
2457,357,51,NA,402,0,1458,54,67,NA,NA,67,NA,67,0,67,NA,NA,NA,NA,NA,2003-04-01,"Connecticut"
2430,352,17,NA,374,0,1510,40,67,NA,NA,67,NA,67,0,71,NA,NA,NA,NA,NA,2003-05-01,"Connecticut"
2420,380,112,NA,321,0,1419,57,64,NA,NA,64,NA,64,0,66,NA,NA,NA,NA,NA,2003-06-01,"Connecticut"
2665,339,224,NA,439,0,1497,24,70,NA,NA,70,NA,70,0,72,NA,NA,NA,NA,NA,2003-07-01,"Connecticut"
2802,381,240,NA,530,0,1486,33,65,NA,NA,65,NA,65,0,66,NA,NA,NA,NA,NA,2003-08-01,"Connecticut"
2507,350,35,NA,510,0,1443,39,66,NA,NA,66,NA,66,0,65,NA,NA,NA,NA,NA,2003-09-01,"Connecticut"
2102,388,44,NA,438,0,1053,49,66,NA,NA,66,NA,66,0,65,NA,NA,NA,NA,NA,2003-10-01,"Connecticut"
1855,193,124,NA,523,0,823,59,65,NA,NA,65,NA,65,0,68,NA,NA,NA,NA,NA,2003-11-01,"Connecticut"
2699,361,242,NA,401,0,1490,73,66,NA,NA,66,NA,66,0,68,NA,NA,NA,NA,NA,2003-12-01,"Connecticut"
3330,401,675,NA,370,0,1515,255,55,NA,NA,55,0,55,0,57,NA,NA,NA,NA,NA,2004-01-01,"Connecticut"
2515,371,53,NA,546,0,1417,11,57,NA,NA,57,0,57,0,59,NA,NA,NA,NA,NA,2004-02-01,"Connecticut"
2519,384,92,NA,536,0,1357,22,64,NA,NA,64,0,63,0,64,NA,NA,NA,NA,NA,2004-03-01,"Connecticut"
1802,319,84,NA,582,0,670,13,67,NA,NA,67,0,67,0,67,NA,NA,NA,NA,NA,2004-04-01,"Connecticut"
