"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
16039,7540,16,1,138,28,8238,13,59,NA,NA,59,NA,59,NA,8,NA,NA,NA,NA,NA,2001-01-01,"Illinois"
13914,6268,78,1,260,27,7217,11,48,NA,NA,48,NA,48,NA,3,NA,NA,NA,NA,NA,2001-02-01,"Illinois"
14882,6274,173,1,177,30,8158,13,54,NA,NA,54,NA,54,NA,3,NA,NA,NA,NA,NA,2001-03-01,"Illinois"
13320,5644,252,1,211,28,7117,14,50,NA,NA,50,NA,50,NA,3,NA,NA,NA,NA,NA,2001-04-01,"Illinois"
14605,6189,26,1,363,29,7925,12,56,NA,NA,56,NA,56,NA,4,NA,NA,NA,NA,NA,2001-05-01,"Illinois"
15411,6796,235,1,372,31,7900,12,60,NA,NA,60,NA,60,NA,4,NA,NA,NA,NA,NA,2001-06-01,"Illinois"
17030,7760,351,1,852,33,7953,13,64,NA,NA,64,NA,64,NA,4,NA,NA,NA,NA,NA,2001-07-01,"Illinois"
16995,7983,223,1,1074,33,7601,12,63,NA,NA,63,NA,63,NA,4,NA,NA,NA,NA,NA,2001-08-01,"Illinois"
14281,6573,107,1,290,29,7211,11,56,NA,NA,56,NA,56,NA,4,NA,NA,NA,NA,NA,2001-09-01,"Illinois"
13842,5857,6,1,321,29,7557,11,55,NA,NA,55,NA,55,NA,4,NA,NA,NA,NA,NA,2001-10-01,"Illinois"
13907,5992,10,1,269,29,7536,12,55,NA,NA,55,NA,55,NA,4,NA,NA,NA,NA,NA,2001-11-01,"Illinois"
15023,6677,15,1,280,30,7946,13,57,NA,NA,57,NA,57,NA,5,NA,NA,NA,NA,NA,2001-12-01,"Illinois"
14564,6888,35,0,291,18,7268,11,53,NA,NA,53,NA,53,NA,0,NA,NA,NA,NA,NA,2002-01-01,"Illinois"
13653,6350,7,0,377,17,6836,9,45,NA,NA,45,NA,45,NA,13,NA,NA,NA,NA,NA,2002-02-01,"Illinois"
14961,6840,9,0,545,19,7464,12,62,NA,NA,62,NA,62,NA,11,NA,NA,NA,NA,NA,2002-03-01,"Illinois"
13795,6232,17,0,827,17,6616,11,60,NA,NA,60,NA,60,NA,15,NA,NA,NA,NA,NA,2002-04-01,"Illinois"
14509,6562,12,0,406,18,7425,11,62,NA,NA,62,NA,62,NA,13,NA,NA,NA,NA,NA,2002-05-01,"Illinois"
16667,7547,12,0,1061,21,7935,12,67,NA,NA,67,NA,67,NA,13,NA,NA,NA,NA,NA,2002-06-01,"Illinois"
19085,8550,42,0,2409,24,7964,12,77,NA,NA,77,NA,77,NA,8,NA,NA,NA,NA,NA,2002-07-01,"Illinois"
18597,8544,21,0,1710,23,8198,12,79,NA,NA,79,NA,79,NA,11,NA,NA,NA,NA,NA,2002-08-01,"Illinois"
16442,7862,30,0,825,20,7616,10,69,NA,NA,69,NA,69,NA,10,NA,NA,NA,NA,NA,2002-09-01,"Illinois"
15228,7292,16,0,278,19,7553,9,50,NA,NA,50,NA,50,NA,10,NA,NA,NA,NA,NA,2002-10-01,"Illinois"
14614,6753,9,0,161,18,7607,10,49,NA,NA,49,NA,49,NA,8,NA,NA,NA,NA,NA,2002-11-01,"Illinois"
15940,7266,12,0,190,20,8378,12,51,NA,NA,51,NA,51,NA,12,NA,NA,NA,NA,NA,2002-12-01,"Illinois"
17232,8426,218,0,325,19,8139,12,78,2,NA,77,NA,77,NA,14,NA,NA,NA,NA,NA,2003-01-01,"Illinois"
15207,7296,261,0,332,16,7211,11,69,1,NA,68,NA,68,NA,10,NA,NA,NA,NA,NA,2003-02-01,"Illinois"
15647,6596,166,0,252,17,8526,11,69,1,NA,68,NA,68,NA,9,NA,NA,NA,NA,NA,2003-03-01,"Illinois"
14030,5977,79,0,214,15,7661,10,64,1,NA,63,NA,63,NA,9,NA,NA,NA,NA,NA,2003-04-01,"Illinois"
14340,5915,13,0,188,15,8115,10,67,1,NA,65,NA,65,NA,17,NA,NA,NA,NA,NA,2003-05-01,"Illinois"
15214,7037,48,0,300,16,7728,11,62,1,NA,60,NA,60,NA,12,NA,NA,NA,NA,NA,2003-06-01,"Illinois"
17593,8463,73,0,588,19,8357,12,66,2,NA,64,NA,64,NA,14,NA,NA,NA,NA,NA,2003-07-01,"Illinois"
18652,8722,182,0,1077,20,8547,13,74,2,NA,72,NA,72,NA,17,NA,NA,NA,NA,NA,2003-08-01,"Illinois"
15630,7398,9,0,181,17,7933,12,70,1,NA,69,NA,69,NA,10,NA,NA,NA,NA,NA,2003-09-01,"Illinois"
14667,6725,10,0,142,16,7682,12,65,1,NA,64,NA,64,NA,16,NA,NA,NA,NA,NA,2003-10-01,"Illinois"
14618,7353,11,0,136,16,7010,11,67,1,NA,66,NA,66,NA,14,NA,NA,NA,NA,NA,2003-11-01,"Illinois"
16225,8073,50,0,167,17,7824,13,68,2,NA,66,NA,66,NA,13,NA,NA,NA,NA,NA,2003-12-01,"Illinois"
16933,8732,175,0,222,20,7705,9,62,0,NA,61,NA,61,NA,8,NA,NA,NA,NA,NA,2004-01-01,"Illinois"
15286,8088,149,0,201,20,6751,9,63,3,NA,60,NA,60,NA,6,NA,NA,NA,NA,NA,2004-02-01,"Illinois"
15168,7258,120,0,168,21,7504,13,70,8,NA,62,NA,62,NA,13,NA,NA,NA,NA,NA,2004-03-01,"Illinois"
14179,6179,69,0,99,22,7718,13,71,10,NA,61,NA,61,NA,8,NA,NA,NA,NA,NA,2004-04-01,"Illinois"
15881,7398,10,0,495,19,7862,16,72,9,NA,62,NA,62,NA,10,NA,NA,NA,NA,NA,2004-05-01,"Illinois"
16387,7708,56,0,521,19,7986,18,67,5,NA,63,NA,63,NA,13,NA,NA,NA,NA,NA,2004-06-01,"Illinois"
17500,8593,10,9,603,19,8169,18,67,3,NA,63,NA,63,NA,12,NA,NA,NA,NA,NA,2004-07-01,"Illinois"
16987,8191,25,10,530,19,8117,16,67,4,NA,63,NA,63,NA,12,NA,NA,NA,NA,NA,2004-08-01,"Illinois"
16165,7964,8,10,273,20,7800,10,67,5,NA,62,NA,62,NA,12,NA,NA,NA,NA,NA,2004-09-01,"Illinois"
15269,7434,15,15,79,24,7609,8,71,9,NA,62,NA,62,NA,15,NA,NA,NA,NA,NA,2004-10-01,"Illinois"
15037,7927,11,28,68,22,6890,12,71,9,NA,62,NA,62,NA,9,NA,NA,NA,NA,NA,2004-11-01,"Illinois"
17165,8929,12,31,133,21,7937,12,75,13,NA,62,NA,62,NA,14,NA,NA,NA,NA,NA,2004-12-01,"Illinois"
17400,8476,20,25,405,19,8374,14,57,6,NA,50,NA,50,NA,11,NA,NA,NA,NA,NA,2005-01-01,"Illinois"
14138,7099,11,22,182,16,6737,13,52,7,NA,45,NA,45,NA,6,NA,NA,NA,NA,NA,2005-02-01,"Illinois"
14590,7379,11,23,434,19,6646,14,61,10,NA,51,NA,51,NA,3,NA,NA,NA,NA,NA,2005-03-01,"Illinois"
14067,6303,22,11,419,16,7218,12,62,10,NA,51,NA,51,NA,4,NA,NA,NA,NA,NA,2005-04-01,"Illinois"
14775,6437,15,7,272,18,7949,10,65,9,NA,56,NA,56,NA,3,NA,NA,NA,NA,NA,2005-05-01,"Illinois"
