"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
1648,54,445,NA,504,0,NA,261,348,NA,NA,348,327,21,NA,36,NA,NA,NA,NA,NA,2001-01-01,"Maine"
1463,45,285,NA,580,0,NA,230,293,NA,NA,293,275,18,NA,30,NA,NA,NA,NA,NA,2001-02-01,"Maine"
1503,51,151,NA,690,0,NA,246,327,NA,NA,327,308,19,NA,37,NA,NA,NA,NA,NA,2001-03-01,"Maine"
1298,39,107,NA,566,0,NA,280,277,NA,NA,277,228,50,NA,28,NA,NA,NA,NA,NA,2001-04-01,"Maine"
1633,49,134,NA,796,0,NA,289,336,NA,NA,336,317,19,NA,29,NA,NA,NA,NA,NA,2001-05-01,"Maine"
1603,41,110,NA,819,0,NA,277,324,NA,NA,324,304,21,NA,32,NA,NA,NA,NA,NA,2001-06-01,"Maine"
1691,50,111,NA,965,0,NA,206,323,NA,NA,323,298,25,NA,37,NA,NA,NA,NA,NA,2001-07-01,"Maine"
2006,50,298,NA,1072,0,NA,183,365,NA,NA,365,341,24,NA,39,NA,NA,NA,NA,NA,2001-08-01,"Maine"
1752,45,133,NA,1022,0,NA,176,339,NA,NA,339,314,25,NA,37,NA,NA,NA,NA,NA,2001-09-01,"Maine"
1568,29,135,NA,958,0,NA,162,250,NA,NA,250,224,26,NA,34,NA,NA,NA,NA,NA,2001-10-01,"Maine"
1705,39,111,NA,1061,0,NA,161,299,NA,NA,299,275,24,NA,35,NA,NA,NA,NA,NA,2001-11-01,"Maine"
1695,37,82,NA,1020,0,NA,175,344,NA,NA,344,319,25,NA,37,NA,NA,NA,NA,NA,2001-12-01,"Maine"
1892,57,55,NA,1236,0,NA,147,362,NA,NA,362,338,25,NA,34,NA,NA,NA,NA,NA,2002-01-01,"Maine"
1723,56,68,NA,1122,0,NA,138,309,NA,NA,309,285,24,NA,30,NA,NA,NA,NA,NA,2002-02-01,"Maine"
