"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
10183,6259,67,0,801,0,2824,123,195,NA,NA,195,145,50,-99,13,NA,NA,NA,NA,NA,2001-01-01,"Michigan"
8871,5351,12,0,722,1,2565,122,169,NA,NA,169,126,43,-81,10,NA,NA,NA,NA,NA,2001-02-01,"Michigan"
9681,5613,42,0,853,1,2933,133,193,NA,NA,193,143,49,-99,12,NA,NA,NA,NA,NA,2001-03-01,"Michigan"
8256,5076,20,0,692,1,2199,154,196,NA,NA,196,151,45,-92,11,NA,NA,NA,NA,NA,2001-04-01,"Michigan"
9301,5475,48,0,826,1,2680,159,197,NA,NA,197,148,49,-96,11,NA,NA,NA,NA,NA,2001-05-01,"Michigan"
9813,5836,131,0,986,0,2624,144,180,NA,NA,180,132,48,-99,10,NA,NA,NA,NA,NA,2001-06-01,"Michigan"
10492,6399,150,0,1499,0,2222,114,217,NA,NA,217,154,64,-122,13,NA,NA,NA,NA,NA,2001-07-01,"Michigan"
10934,6670,133,0,1728,1,2137,148,223,NA,NA,223,154,69,-120,14,NA,NA,NA,NA,NA,2001-08-01,"Michigan"
7753,5569,43,0,1168,0,795,94,190,NA,NA,190,133,57,-117,11,NA,NA,NA,NA,NA,2001-09-01,"Michigan"
8888,5144,37,0,1460,1,1916,117,220,NA,NA,220,155,65,-20,14,NA,NA,NA,NA,NA,2001-10-01,"Michigan"
8411,5429,29,0,1213,0,1491,115,207,NA,NA,207,145,62,-86,13,NA,NA,NA,NA,NA,2001-11-01,"Michigan"
9264,5442,37,0,1226,0,2325,140,175,0,NA,174,115,59,-95,13,NA,NA,NA,NA,NA,2001-12-01,"Michigan"
9241,5625,50,4,1204,1,2091,134,199,0,NA,199,131,68,-87,22,NA,NA,NA,NA,NA,2002-01-01,"Michigan"
8195,4824,62,4,1112,1,1979,122,137,0,NA,137,85,52,-64,16,NA,NA,NA,NA,NA,2002-02-01,"Michigan"
9496,4933,78,1,1277,1,2910,154,205,0,NA,205,144,61,-84,20,NA,NA,NA,NA,NA,2002-03-01,"Michigan"
9127,4723,97,4,1215,1,2794,161,188,0,NA,188,124,65,-79,21,NA,NA,NA,NA,NA,2002-04-01,"Michigan"
8437,5067,64,3,1030,1,1978,165,174,0,NA,174,119,56,-68,23,NA,NA,NA,NA,NA,2002-05-01,"Michigan"
10105,5940,129,3,1387,1,2387,153,173,0,NA,173,115,58,-90,22,NA,NA,NA,NA,NA,2002-06-01,"Michigan"
11994,6582,185,3,2238,1,2746,138,198,0,NA,198,126,72,-119,21,NA,NA,NA,NA,NA,2002-07-01,"Michigan"
11814,6514,131,3,2083,2,2828,139,202,0,NA,202,126,76,-116,29,NA,NA,NA,NA,NA,2002-08-01,"Michigan"
10237,5686,80,3,1438,1,2782,116,197,0,NA,197,132,65,-94,28,NA,NA,NA,NA,NA,2002-09-01,"Michigan"
9666,5353,67,1,1063,1,2896,141,194,0,NA,194,132,62,-78,28,NA,NA,NA,NA,NA,2002-10-01,"Michigan"
