"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
4333,2895,12,41,65,NA,1059,61,178,86,NA,91,49,42,NA,22,NA,NA,NA,NA,NA,2001-01-01,"Minnesota"
3840,2751,11,41,82,NA,730,55,152,73,NA,79,45,35,NA,18,NA,NA,NA,NA,NA,2001-02-01,"Minnesota"
3663,2481,14,48,74,NA,808,61,157,67,NA,89,53,37,NA,20,NA,NA,NA,NA,NA,2001-03-01,"Minnesota"
3667,2104,7,27,94,NA,1138,91,179,91,NA,88,43,45,NA,25,NA,NA,NA,NA,NA,2001-04-01,"Minnesota"
3414,2042,20,12,102,NA,933,107,169,73,NA,96,47,48,NA,28,NA,NA,NA,NA,NA,2001-05-01,"Minnesota"
4115,2581,12,54,92,NA,1095,99,157,64,NA,92,47,45,NA,26,NA,NA,NA,NA,NA,2001-06-01,"Minnesota"
4516,2875,10,39,187,NA,1188,53,138,56,NA,82,37,45,NA,25,NA,NA,NA,NA,NA,2001-07-01,"Minnesota"
4326,3044,16,32,204,NA,805,59,142,49,NA,92,49,43,NA,24,NA,NA,NA,NA,NA,2001-08-01,"Minnesota"
3970,2606,5,48,63,NA,1038,42,145,55,NA,90,50,40,NA,23,NA,NA,NA,NA,NA,2001-09-01,"Minnesota"
4264,2650,7,48,106,NA,1202,57,173,91,NA,82,43,39,NA,21,NA,NA,NA,NA,NA,2001-10-01,"Minnesota"
3998,2829,3,60,60,NA,767,64,192,97,NA,94,52,43,NA,25,NA,NA,NA,NA,NA,2001-11-01,"Minnesota"
4417,2961,4,54,70,NA,1025,83,196,92,NA,103,60,44,NA,25,NA,NA,NA,NA,NA,2001-12-01,"Minnesota"
4583,3007,2,50,96,NA,1152,55,197,98,NA,98,60,38,NA,25,NA,NA,NA,NA,NA,2002-01-01,"Minnesota"
4047,2858,3,46,109,NA,770,53,187,103,NA,84,51,33,NA,21,NA,NA,NA,NA,NA,2002-02-01,"Minnesota"
4345,2689,4,55,148,NA,1223,49,148,58,NA,90,46,43,NA,29,NA,NA,NA,NA,NA,2002-03-01,"Minnesota"
4019,2426,5,27,89,NA,1180,88,171,95,NA,76,38,38,NA,32,NA,NA,NA,NA,NA,2002-04-01,"Minnesota"
3888,2276,8,35,82,NA,1223,79,154,83,NA,71,26,46,NA,30,NA,NA,NA,NA,NA,2002-05-01,"Minnesota"
4320,2751,6,41,153,NA,1159,50,137,77,NA,60,20,40,NA,25,NA,NA,NA,NA,NA,2002-06-01,"Minnesota"
4945,3155,4,62,331,NA,1189,78,99,34,NA,65,19,45,NA,27,NA,NA,NA,NA,NA,2002-07-01,"Minnesota"
4677,2981,4,56,178,NA,1203,98,129,58,NA,72,25,46,NA,27,NA,NA,NA,NA,NA,2002-08-01,"Minnesota"
4355,2728,5,52,147,NA,1179,81,135,74,NA,61,18,43,NA,28,NA,NA,NA,NA,NA,2002-09-01,"Minnesota"
4502,2868,4,58,95,NA,1241,79,131,61,NA,70,30,40,NA,27,NA,NA,NA,NA,NA,2002-10-01,"Minnesota"
4333,2961,2,54,81,NA,1003,56,143,76,NA,68,22,45,NA,31,NA,NA,NA,NA,NA,2002-11-01,"Minnesota"
4764,3220,2,65,84,NA,1163,44,156,88,NA,68,22,46,NA,31,NA,NA,NA,NA,NA,2002-12-01,"Minnesota"
4771,3104,16,51,104,NA,1243,48,176,79,NA,97,56,40,NA,29,NA,NA,NA,NA,NA,2003-01-01,"Minnesota"
4466,2927,21,60,100,NA,1126,37,173,92,NA,81,51,31,NA,21,NA,NA,NA,NA,NA,2003-02-01,"Minnesota"
4315,2658,9,68,69,NA,1238,47,198,103,NA,94,55,40,NA,27,NA,NA,NA,NA,NA,2003-03-01,"Minnesota"
4130,2668,7,27,118,NA,1030,68,181,86,NA,95,52,43,NA,31,NA,NA,NA,NA,NA,2003-04-01,"Minnesota"
4192,2941,12,71,60,NA,834,72,175,78,NA,97,56,41,NA,27,NA,NA,NA,NA,NA,2003-05-01,"Minnesota"
4374,2860,7,55,97,NA,1119,65,146,54,NA,93,53,40,NA,24,NA,NA,NA,NA,NA,2003-06-01,"Minnesota"
5041,3216,7,59,244,NA,1199,125,160,64,NA,96,54,42,NA,30,NA,NA,NA,NA,NA,2003-07-01,"Minnesota"
5110,3182,8,73,391,NA,1187,90,149,47,NA,102,60,42,NA,29,NA,NA,NA,NA,NA,2003-08-01,"Minnesota"
4429,2986,9,59,167,NA,926,78,176,84,NA,92,52,40,NA,28,NA,NA,NA,NA,NA,2003-09-01,"Minnesota"
