"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
2966,1425,86,NA,1135,NA,NA,211,109,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-01-01,"Nevada"
2969,1452,117,NA,1045,NA,NA,260,94,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-02-01,"Nevada"
3040,1431,109,NA,1122,NA,NA,273,106,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-03-01,"Nevada"
2041,887,93,NA,690,NA,NA,273,98,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-04-01,"Nevada"
2806,1496,94,NA,866,NA,NA,258,92,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-05-01,"Nevada"
2888,1589,72,NA,873,NA,NA,259,94,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-01,"Nevada"
2924,1568,84,NA,936,NA,NA,239,96,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-01,"Nevada"
3235,1695,88,NA,1135,NA,NA,219,98,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-08-01,"Nevada"
2896,1545,149,NA,946,NA,NA,158,97,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-09-01,"Nevada"
2997,1705,14,NA,1066,NA,NA,107,104,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-10-01,"Nevada"
2653,1569,1,NA,855,NA,NA,126,103,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-11-01,"Nevada"
2463,1374,6,NA,844,NA,NA,131,108,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-12-01,"Nevada"
2760,1537,4,NA,1007,NA,NA,110,103,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-01-01,"Nevada"
2493,1336,3,NA,928,NA,NA,135,91,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-02-01,"Nevada"
2605,1313,1,NA,1007,NA,NA,187,97,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-03-01,"Nevada"
1932,957,3,NA,631,NA,NA,249,91,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-04-01,"Nevada"
2591,1387,2,NA,840,NA,NA,269,93,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-01,"Nevada"
