"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
2919,2627,13,NA,265,NA,NA,12,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-01-01,"New_Mexico"
2713,2314,11,NA,363,NA,NA,23,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2001-02-01,"New_Mexico"
2617,2144,5,NA,442,NA,NA,24,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-03-01,"New_Mexico"
2320,1797,4,NA,495,NA,NA,23,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-04-01,"New_Mexico"
3129,2601,10,NA,490,NA,NA,27,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2001-05-01,"New_Mexico"
3053,2517,4,NA,505,NA,NA,26,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2001-06-01,"New_Mexico"
3320,2725,4,NA,563,NA,NA,26,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-07-01,"New_Mexico"
2922,2371,3,NA,523,NA,NA,24,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-08-01,"New_Mexico"
2601,2196,6,NA,383,NA,NA,15,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-09-01,"New_Mexico"
2725,2353,2,NA,356,NA,NA,13,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-10-01,"New_Mexico"
2475,2169,5,NA,288,NA,NA,10,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-11-01,"New_Mexico"
2818,2588,1,NA,214,NA,NA,14,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2001-12-01,"New_Mexico"
2359,2152,3,NA,185,NA,NA,17,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-01-01,"New_Mexico"
2167,1910,1,NA,234,NA,NA,21,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-02-01,"New_Mexico"
2548,2240,2,NA,281,NA,NA,23,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-03-01,"New_Mexico"
2531,2217,1,NA,285,NA,NA,27,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-04-01,"New_Mexico"
2643,2375,3,NA,236,NA,NA,28,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2002-05-01,"New_Mexico"
2940,2536,2,NA,373,NA,NA,29,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-06-01,"New_Mexico"
2962,2467,4,NA,462,NA,NA,28,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-07-01,"New_Mexico"
2207,1790,1,NA,393,NA,NA,21,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-08-01,"New_Mexico"
2754,2450,5,NA,276,NA,NA,23,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-09-01,"New_Mexico"
2653,2369,2,NA,262,NA,NA,19,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2002-10-01,"New_Mexico"
2482,2232,6,NA,227,NA,NA,15,3,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,2002-11-01,"New_Mexico"
2416,2166,4,NA,226,NA,NA,15,5,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,2002-12-01,"New_Mexico"
2801,2567,4,NA,218,NA,NA,12,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,2003-01-01,"New_Mexico"
