"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
12622,2453,2756,0,1900,7,3333,2017,154,2,NA,153,53,100,-61,62,NA,NA,NA,NA,NA,2001-01-01,"New_York"
11460,2158,1916,1,1855,8,3367,2013,141,1,NA,140,47,93,-57,58,NA,NA,NA,NA,NA,2001-02-01,"New_York"
12115,2272,2042,0,2097,9,3334,2203,156,2,NA,154,49,106,-65,67,NA,NA,NA,NA,NA,2001-03-01,"New_York"
10734,1809,1602,0,2057,10,3095,2043,141,2,NA,139,38,102,-88,64,NA,NA,NA,NA,NA,2001-04-01,"New_York"
11132,1690,1487,0,3071,10,2676,2053,159,2,NA,157,50,107,-82,69,NA,NA,NA,NA,NA,2001-05-01,"New_York"
13038,2001,1501,0,3925,11,3558,1921,154,2,NA,152,48,104,-98,65,NA,NA,NA,NA,NA,2001-06-01,"New_York"
13128,2235,1140,1,4361,10,3451,1801,153,2,NA,151,36,115,-97,73,NA,NA,NA,NA,NA,2001-07-01,"New_York"
14720,2361,1509,1,5451,11,3544,1698,159,2,NA,157,44,113,-86,71,NA,NA,NA,NA,NA,2001-08-01,"New_York"
11583,1531,605,5,4193,9,3546,1575,147,2,NA,145,39,106,-95,68,NA,NA,NA,NA,NA,2001-09-01,"New_York"
11420,1708,544,0,3772,10,3494,1740,138,2,NA,136,25,111,-58,71,NA,NA,NA,NA,NA,2001-10-01,"New_York"
10518,1410,673,0,2847,10,3520,1909,145,2,NA,144,37,107,-64,68,NA,NA,NA,NA,NA,2001-11-01,"New_York"
11447,1804,720,9,3167,10,3477,2110,154,2,NA,152,37,115,-77,73,NA,NA,NA,NA,NA,2001-12-01,"New_York"
11538,1912,847,9,2816,NA,3768,2051,138,5,NA,134,30,104,-66,63,NA,NA,NA,NA,NA,2002-01-01,"New_York"
10199,1556,525,7,2560,NA,3380,2047,125,5,NA,121,27,94,-58,57,NA,NA,NA,NA,NA,2002-02-01,"New_York"
10715,1724,742,6,2626,NA,3101,2392,140,5,NA,136,33,103,-79,63,NA,NA,NA,NA,NA,2002-03-01,"New_York"
