"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
4150,389,56,NA,846,NA,NA,2805,51,3,NA,48,44,4,NA,3,NA,NA,NA,NA,NA,2001-01-01,"Oregon"
3718,369,37,NA,775,NA,NA,2494,40,3,NA,37,33,4,NA,3,NA,NA,NA,NA,NA,2001-02-01,"Oregon"
4209,418,1,NA,876,NA,NA,2823,87,8,NA,80,76,4,NA,3,NA,NA,NA,NA,NA,2001-03-01,"Oregon"
3784,403,0,NA,782,NA,NA,2521,75,6,NA,69,64,4,NA,3,NA,NA,NA,NA,NA,2001-04-01,"Oregon"
3928,233,0,NA,764,NA,NA,2865,62,6,NA,56,52,4,NA,3,NA,NA,NA,NA,NA,2001-05-01,"Oregon"
3634,259,1,NA,862,NA,NA,2440,69,6,NA,63,58,4,NA,3,NA,NA,NA,NA,NA,2001-06-01,"Oregon"
3244,410,0,NA,852,NA,NA,1906,73,7,NA,66,62,4,NA,3,NA,NA,NA,NA,NA,2001-07-01,"Oregon"
3511,390,0,NA,1165,NA,NA,1876,77,5,NA,72,67,4,NA,3,NA,NA,NA,NA,NA,2001-08-01,"Oregon"
3328,391,0,NA,1054,NA,NA,1809,71,5,NA,66,63,3,NA,3,NA,NA,NA,NA,NA,2001-09-01,"Oregon"
3470,415,0,NA,1068,NA,NA,1903,80,7,NA,73,68,4,NA,3,NA,NA,NA,NA,NA,2001-10-01,"Oregon"
3655,351,6,NA,908,NA,NA,2315,72,7,NA,65,61,4,NA,3,NA,NA,NA,NA,NA,2001-11-01,"Oregon"
4420,416,0,NA,1031,NA,NA,2888,81,25,NA,56,52,4,NA,3,NA,NA,NA,NA,NA,2001-12-01,"Oregon"
4768,398,1,NA,937,NA,NA,3337,92,37,NA,55,51,4,NA,3,NA,NA,NA,NA,NA,2002-01-01,"Oregon"
4253,368,0,NA,844,NA,NA,2965,73,21,NA,52,49,4,NA,3,NA,NA,NA,NA,NA,2002-02-01,"Oregon"
4198,366,2,NA,835,NA,NA,2892,101,44,NA,57,53,4,NA,3,NA,NA,NA,NA,NA,2002-03-01,"Oregon"
3895,204,1,NA,323,NA,NA,3281,83,33,NA,50,46,4,NA,3,NA,NA,NA,NA,NA,2002-04-01,"Oregon"
