"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
7117,3547,652,NA,235,NA,2556,73,161,NA,NA,161,110,51,-140,33,NA,NA,0,NA,NA,2001-01-01,"Virginia"
5894,3130,345,NA,100,NA,2204,74,134,NA,NA,134,92,42,-120,27,NA,NA,0,NA,NA,2001-02-01,"Virginia"
6358,3284,790,NA,67,0,2083,106,132,NA,NA,132,88,44,-132,28,NA,NA,0,NA,NA,2001-03-01,"Virginia"
6108,2793,734,NA,131,0,2286,139,123,NA,NA,123,78,45,-130,30,NA,NA,0,NA,NA,2001-04-01,"Virginia"
5592,2805,222,NA,115,0,2315,99,142,NA,NA,142,90,52,-142,36,NA,NA,0,NA,NA,2001-05-01,"Virginia"
6501,3035,474,NA,371,0,2506,98,150,NA,NA,150,98,53,-168,35,NA,NA,0,NA,NA,2001-06-01,"Virginia"
6950,3310,482,NA,540,NA,2525,99,156,NA,NA,156,101,54,-197,36,NA,NA,0,NA,NA,2001-07-01,"Virginia"
7733,3702,740,NA,807,NA,2392,85,156,NA,NA,156,99,57,-186,37,NA,NA,0,NA,NA,2001-08-01,"Virginia"
5737,2973,146,NA,750,0,1921,70,137,NA,NA,137,90,47,-291,30,NA,NA,0,NA,NA,2001-09-01,"Virginia"
5416,2959,86,NA,540,NA,1882,56,144,NA,NA,144,95,49,-283,32,NA,NA,0,NA,NA,2001-10-01,"Virginia"
4875,3159,415,NA,312,NA,1050,57,151,NA,NA,151,100,51,-304,35,NA,NA,0,NA,NA,2001-11-01,"Virginia"
5823,3073,374,NA,227,0,2040,59,160,NA,NA,160,106,54,-147,37,NA,NA,0,NA,NA,2001-12-01,"Virginia"
6599,3261,358,NA,269,NA,2612,65,143,NA,NA,143,93,51,-145,35,NA,NA,0,NA,NA,2002-01-01,"Virginia"
5828,2951,281,NA,134,0,2360,54,140,NA,NA,140,95,45,-124,31,NA,NA,0,NA,NA,2002-02-01,"Virginia"
5835,2874,246,NA,163,0,2441,72,153,NA,NA,153,103,49,-147,33,NA,NA,0,NA,NA,2002-03-01,"Virginia"
5595,2693,345,NA,346,NA,2075,67,176,NA,NA,176,126,50,-140,33,NA,NA,0,NA,NA,2002-04-01,"Virginia"
5844,2768,101,NA,243,NA,2594,73,146,NA,NA,146,85,61,-123,43,NA,NA,0,NA,NA,2002-05-01,"Virginia"
6550,3111,473,NA,451,0,2507,62,173,NA,NA,173,110,63,-270,44,NA,NA,0,NA,NA,2002-06-01,"Virginia"
7648,3595,677,NA,801,0,2581,69,197,NA,NA,197,129,68,-317,45,NA,NA,0,NA,NA,2002-07-01,"Virginia"
7847,3747,567,NA,853,0,2570,61,187,NA,NA,187,120,67,-182,44,NA,NA,0,NA,NA,2002-08-01,"Virginia"
6046,3328,100,NA,534,0,1982,61,175,NA,NA,175,115,59,-172,39,NA,NA,0,NA,NA,2002-09-01,"Virginia"
5376,3035,50,NA,235,0,1922,51,177,NA,NA,177,130,47,-125,31,NA,NA,0,NA,NA,2002-10-01,"Virginia"
5311,3018,205,NA,101,0,1778,96,200,NA,NA,200,146,54,-126,38,NA,NA,0,NA,NA,2002-11-01,"Virginia"
6527,3702,390,NA,258,0,1923,137,205,NA,NA,205,156,49,-119,31,NA,NA,0,NA,NA,2002-12-01,"Virginia"
7232,3918,1137,NA,414,NA,1490,125,222,NA,NA,222,160,62,-115,41,NA,NA,NA,NA,NA,2003-01-01,"Virginia"
6193,3228,548,NA,129,0,2040,151,177,NA,NA,177,129,49,-112,32,NA,NA,NA,NA,NA,2003-02-01,"Virginia"
5642,2803,369,NA,333,NA,1896,124,197,NA,NA,197,142,55,-116,38,NA,NA,NA,NA,NA,2003-03-01,"Virginia"
4903,2008,373,NA,408,NA,1838,143,192,NA,NA,192,138,54,-95,37,NA,NA,NA,NA,NA,2003-04-01,"Virginia"
5182,2553,113,NA,241,0,1992,195,176,NA,NA,176,119,57,-127,39,NA,NA,NA,NA,NA,2003-05-01,"Virginia"
6129,2983,665,NA,294,0,1944,149,189,NA,NA,189,135,54,-131,36,NA,NA,NA,NA,NA,2003-06-01,"Virginia"
7566,3419,684,NA,658,0,2586,133,212,NA,NA,212,150,62,-166,41,NA,NA,NA,NA,NA,2003-07-01,"Virginia"
8034,3572,746,NA,879,3,2580,194,189,NA,NA,189,126,62,-171,41,NA,NA,NA,NA,NA,2003-08-01,"Virginia"
5957,3071,247,NA,299,0,2172,129,150,NA,NA,150,103,48,-142,32,NA,NA,NA,NA,NA,2003-09-01,"Virginia"
5475,3045,165,NA,209,0,1814,127,174,NA,NA,174,116,58,-97,40,NA,NA,NA,NA,NA,2003-10-01,"Virginia"
5617,2972,33,NA,469,0,1921,127,173,NA,NA,173,120,53,-114,36,NA,NA,NA,NA,NA,2003-11-01,"Virginia"
7381,3522,701,NA,286,0,2544,186,211,NA,NA,211,151,60,-110,40,NA,NA,NA,NA,NA,2003-12-01,"Virginia"
7621,3237,1032,NA,485,0,2604,118,196,NA,NA,196,141,55,-88,37,NA,NA,NA,NA,NA,2004-01-01,"Virginia"
6555,2914,481,NA,570,0,2279,171,191,NA,NA,191,139,52,-86,35,NA,NA,NA,NA,NA,2004-02-01,"Virginia"
6072,2648,380,NA,212,0,2588,93,199,NA,NA,199,143,56,-88,38,NA,NA,NA,NA,NA,2004-03-01,"Virginia"
5843,2386,306,NA,381,0,2521,139,165,NA,NA,165,108,57,-95,40,NA,NA,NA,NA,NA,2004-04-01,"Virginia"
6495,2720,801,NA,962,0,1748,126,196,NA,NA,196,133,63,-101,44,NA,NA,NA,NA,NA,2004-05-01,"Virginia"
6743,3030,318,NA,674,0,2472,118,203,NA,NA,203,140,63,-116,44,NA,NA,NA,NA,NA,2004-06-01,"Virginia"
7840,3400,719,NA,874,0,2580,104,227,NA,NA,227,160,66,-111,47,NA,NA,NA,NA,NA,2004-07-01,"Virginia"
7502,3242,453,NA,942,0,2584,136,218,NA,NA,218,157,61,-116,43,NA,NA,NA,NA,NA,2004-08-01,"Virginia"
6223,3094,174,NA,587,0,2078,139,202,NA,NA,202,143,58,-94,43,NA,NA,NA,NA,NA,2004-09-01,"Virginia"
5660,2758,23,NA,167,0,2418,149,202,NA,NA,202,149,53,-95,38,NA,NA,NA,NA,NA,2004-10-01,"Virginia"
5495,2969,18,NA,311,0,1923,110,213,NA,NA,213,160,53,-86,36,NA,NA,NA,NA,NA,2004-11-01,"Virginia"
6853,3258,449,NA,272,0,2519,182,222,NA,NA,222,161,61,-91,43,NA,NA,NA,NA,NA,2004-12-01,"Virginia"
7353,3282,691,NA,480,0,2589,161,198,NA,NA,198,140,59,-87,38,NA,NA,NA,NA,NA,2005-01-01,"Virginia"
6346,2984,415,NA,455,0,2229,110,190,NA,NA,190,138,52,-72,35,NA,NA,NA,NA,NA,2005-02-01,"Virginia"
6881,3273,188,NA,532,0,2591,145,221,NA,NA,221,165,55,-106,37,NA,NA,NA,NA,NA,2005-03-01,"Virginia"
5695,2604,22,NA,450,0,2362,148,189,NA,NA,189,132,56,-119,39,NA,NA,NA,NA,NA,2005-04-01,"Virginia"
4760,2203,27,NA,146,0,2116,114,208,NA,NA,208,144,63,-98,43,NA,NA,NA,NA,NA,2005-05-01,"Virginia"
6642,2813,323,NA,963,0,2327,123,193,NA,NA,193,133,60,-142,41,NA,NA,NA,NA,NA,2005-06-01,"Virginia"
8157,3435,534,NA,1556,0,2390,121,228,NA,NA,228,166,63,-150,43,NA,NA,NA,NA,NA,2005-07-01,"Virginia"
8345,3400,638,NA,1761,0,2323,123,220,NA,NA,220,159,61,-164,44,NA,NA,NA,NA,NA,2005-08-01,"Virginia"
6921,2824,472,NA,965,0,2461,110,203,NA,NA,203,147,57,-154,40,NA,NA,NA,NA,NA,2005-09-01,"Virginia"
5160,2708,294,NA,318,0,1616,90,205,NA,NA,205,154,51,-108,36,NA,NA,NA,NA,NA,2005-10-01,"Virginia"
5475,2688,28,NA,180,0,2333,95,217,NA,NA,217,159,57,-106,40,NA,NA,NA,NA,NA,2005-11-01,"Virginia"
7209,3211,633,NA,489,0,2581,145,226,NA,NA,226,165,61,-117,42,NA,NA,NA,NA,NA,2005-12-01,"Virginia"
6035,3059,22,NA,105,NA,2541,127,222,NA,NA,222,160,61,-83,43,NA,NA,NA,NA,NA,2006-01-01,"Virginia"
5782,2862,39,NA,433,NA,2183,108,208,NA,NA,208,154,54,-90,40,NA,NA,NA,NA,NA,2006-02-01,"Virginia"
6102,3328,21,NA,359,NA,2119,92,213,NA,NA,213,157,56,-72,41,NA,NA,NA,NA,NA,2006-03-01,"Virginia"
5196,2681,19,NA,177,NA,2108,99,187,NA,NA,187,137,50,-112,37,NA,NA,NA,NA,NA,2006-04-01,"Virginia"
5274,2658,21,NA,267,NA,2035,117,207,NA,NA,207,146,62,-77,46,NA,NA,NA,NA,NA,2006-05-01,"Virginia"
6672,2884,98,NA,960,NA,2480,109,210,NA,NA,210,149,61,-114,46,NA,NA,NA,NA,NA,2006-06-01,"Virginia"
8310,3328,223,NA,1915,NA,2544,146,227,NA,NA,227,169,57,-113,43,NA,NA,NA,NA,NA,2006-07-01,"Virginia"
8369,3429,274,NA,1867,NA,2548,122,220,NA,NA,220,161,59,-136,44,NA,NA,NA,NA,NA,2006-08-01,"Virginia"
5228,2269,24,NA,263,NA,2485,74,176,NA,NA,176,124,52,-100,36,NA,NA,NA,NA,NA,2006-09-01,"Virginia"
5101,2424,28,NA,320,NA,2103,92,189,NA,NA,189,139,50,-90,36,NA,NA,NA,NA,NA,2006-10-01,"Virginia"
5189,2688,23,NA,268,NA,1928,129,196,NA,NA,196,142,54,-81,38,NA,NA,NA,NA,NA,2006-11-01,"Virginia"
5811,2678,49,NA,283,NA,2519,138,203,NA,NA,203,142,61,-100,42,NA,NA,NA,NA,NA,2006-12-01,"Virginia"
6395,2824,193,NA,550,NA,2494,213,202,NA,NA,202,135,67,-123,41,NA,NA,NA,NA,NA,2007-01-01,"Virginia"
7006,3090,740,NA,644,NA,2319,109,200,NA,NA,200,143,57,-132,35,NA,NA,NA,NA,NA,2007-02-01,"Virginia"
6082,2721,215,NA,626,NA,2266,111,207,NA,NA,207,145,61,-99,38,NA,NA,NA,NA,NA,2007-03-01,"Virginia"
5311,2439,155,NA,474,NA,1961,164,207,NA,NA,207,146,60,-126,37,NA,NA,NA,NA,NA,2007-04-01,"Virginia"
6136,2903,32,NA,476,NA,2554,46,195,NA,NA,195,129,66,-109,41,NA,NA,NA,NA,NA,2007-05-01,"Virginia"
6943,3171,188,NA,945,NA,2453,109,212,NA,NA,212,147,65,-175,40,NA,NA,NA,NA,NA,2007-06-01,"Virginia"
7559,3327,105,NA,1550,NA,2377,115,234,NA,NA,234,163,72,-193,43,NA,NA,NA,NA,NA,2007-07-01,"Virginia"
8646,3423,326,NA,2130,NA,2550,109,240,NA,NA,240,174,66,-174,41,NA,NA,NA,NA,NA,2007-08-01,"Virginia"
6415,3050,26,NA,1173,NA,1982,93,217,NA,NA,217,156,60,-166,40,NA,NA,NA,NA,NA,2007-09-01,"Virginia"
6128,2799,68,NA,1063,NA,2003,57,205,NA,NA,205,139,66,-107,41,NA,NA,NA,NA,NA,2007-10-01,"Virginia"
5359,2717,16,NA,508,NA,1905,58,221,NA,NA,221,159,62,-105,38,NA,NA,NA,NA,NA,2007-11-01,"Virginia"
6381,2957,34,NA,764,NA,2404,64,227,NA,NA,227,157,71,-112,43,NA,NA,NA,NA,NA,2007-12-01,"Virginia"
6688,3252,201,NA,649,NA,2526,76,238,NA,NA,238,175,63,-290,35,NA,NA,NA,NA,NA,2008-01-01,"Virginia"
6101,3016,78,NA,559,NA,2232,69,220,NA,NA,220,164,56,-104,31,NA,NA,NA,NA,NA,2008-02-01,"Virginia"
5722,2690,11,NA,274,NA,2567,81,194,NA,NA,194,142,52,-123,28,NA,NA,NA,NA,NA,2008-03-01,"Virginia"
4944,2067,23,NA,317,NA,2289,117,205,NA,NA,205,143,62,-110,35,NA,NA,NA,NA,NA,2008-04-01,"Virginia"
4955,2439,19,NA,157,NA,2152,40,223,NA,NA,223,152,71,-114,40,NA,NA,NA,NA,NA,2008-05-01,"Virginia"
7197,2959,208,NA,1323,NA,2461,101,246,NA,NA,246,172,74,-143,41,NA,NA,NA,NA,NA,2008-06-01,"Virginia"
7792,3135,102,NA,1791,NA,2535,120,238,NA,NA,238,166,72,-168,39,NA,NA,NA,NA,NA,2008-07-01,"Virginia"
6875,2632,41,NA,1421,NA,2537,110,246,NA,NA,246,175,71,-150,39,NA,NA,NA,NA,NA,2008-08-01,"Virginia"
5838,2401,52,NA,1067,NA,2089,104,223,NA,NA,223,162,61,-132,33,NA,NA,NA,NA,NA,2008-09-01,"Virginia"
4717,2068,15,NA,637,NA,1786,78,206,NA,NA,206,143,64,-110,36,NA,NA,NA,NA,NA,2008-10-01,"Virginia"
5430,2325,221,NA,468,NA,2184,38,228,NA,NA,228,161,67,-72,37,NA,NA,NA,NA,NA,2008-11-01,"Virginia"
6421,2792,178,NA,652,NA,2572,79,231,NA,NA,231,160,71,-122,40,NA,NA,NA,NA,NA,2008-12-01,"Virginia"
7627,3274,487,NA,1042,NA,2571,134,207,NA,NA,207,145,63,-126,38,NA,NA,NA,NA,NA,2009-01-01,"Virginia"
6058,2554,179,NA,795,NA,2322,64,203,NA,NA,203,149,54,-93,33,NA,NA,NA,NA,NA,2009-02-01,"Virginia"
5436,2035,143,NA,952,NA,2041,113,196,NA,NA,196,143,53,-75,33,NA,NA,NA,NA,NA,2009-03-01,"Virginia"
4950,1750,13,NA,682,NA,2208,115,217,NA,NA,217,154,63,-73,37,NA,NA,NA,NA,NA,2009-04-01,"Virginia"
4975,1791,37,NA,595,NA,2319,107,173,NA,NA,173,108,65,-85,37,NA,NA,NA,NA,NA,2009-05-01,"Virginia"
5970,2174,25,NA,990,NA,2469,180,205,NA,NA,205,140,65,-114,41,NA,NA,NA,NA,NA,2009-06-01,"Virginia"
6435,2217,45,NA,1420,NA,2542,91,213,NA,NA,213,154,59,-128,36,NA,NA,NA,NA,NA,2009-07-01,"Virginia"
7221,2385,89,NA,2023,NA,2533,101,229,NA,NA,229,168,61,-177,36,NA,NA,NA,NA,NA,2009-08-01,"Virginia"
5816,1592,11,NA,1562,NA,2468,98,188,NA,NA,188,133,56,-135,32,NA,NA,NA,NA,NA,2009-09-01,"Virginia"
4613,1417,15,NA,633,NA,2376,72,185,NA,NA,185,129,57,-117,32,NA,NA,NA,NA,NA,2009-10-01,"Virginia"
4496,1718,19,NA,576,NA,1903,155,194,NA,NA,194,137,57,-102,33,NA,NA,NA,NA,NA,2009-11-01,"Virginia"
6485,2692,24,NA,931,NA,2461,249,207,NA,NA,207,150,56,-110,32,NA,NA,NA,NA,NA,2009-12-01,"Virginia"
6909,2741,124,NA,1139,NA,2569,216,202,NA,NA,202,142,60,-113,32,NA,NA,NA,NA,NA,2010-01-01,"Virginia"
6413,2463,65,NA,1216,NA,2319,213,142,NA,NA,142,98,43,-27,23,NA,NA,NA,NA,NA,2010-02-01,"Virginia"
5426,2256,15,NA,522,NA,2321,167,176,NA,NA,176,126,50,-59,27,NA,NA,NA,NA,NA,2010-03-01,"Virginia"
