"All fuels","coal","petroleum liquids","petroleum coke","natural gas","other gases","nuclear","conventional hydroelectric","other renewables","other renewables:wind","other renewables:geothermal","other renewables:biomass","biomass:wood and wood-derived fuels","biomass:other biomass","hydro-electric pumped storage","other","all solar","small-scale solar photovoltaic","all utility-scale solar","all utility-scale solar:utility-scale photovoltaic","all utility-scale solar:utility-scale thermal","Date","State"
8318,831,227,NA,754,NA,842,5545,114,NA,NA,114,104,11,NA,4,NA,NA,NA,NA,NA,2001-01-01,"Washington"
7088,749,37,NA,906,NA,758,4536,97,NA,NA,97,84,13,NA,5,NA,NA,NA,NA,NA,2001-02-01,"Washington"
7776,865,11,NA,928,NA,831,5025,109,NA,NA,109,95,14,NA,6,NA,NA,NA,NA,NA,2001-03-01,"Washington"
6417,603,7,NA,930,NA,752,4009,110,NA,NA,110,93,17,NA,6,NA,NA,NA,NA,NA,2001-04-01,"Washington"
6288,403,3,NA,889,NA,390,4510,88,NA,NA,88,74,14,NA,6,NA,NA,NA,NA,NA,2001-05-01,"Washington"
6434,557,7,NA,755,NA,-7,5008,109,NA,NA,109,95,14,NA,6,NA,NA,NA,NA,NA,2001-06-01,"Washington"
6058,787,5,NA,946,NA,596,3608,111,NA,NA,111,97,15,NA,6,NA,NA,NA,NA,NA,2001-07-01,"Washington"
7046,915,4,NA,820,NA,786,4417,101,NA,NA,101,91,10,NA,5,NA,NA,NA,NA,NA,2001-08-01,"Washington"
6272,779,4,NA,702,NA,805,3872,104,NA,NA,104,92,12,NA,5,NA,NA,NA,NA,NA,2001-09-01,"Washington"
6348,738,7,NA,693,NA,841,3952,112,NA,NA,112,99,13,NA,6,NA,NA,NA,NA,NA,2001-10-01,"Washington"
6896,942,3,NA,521,NA,814,4528,82,NA,NA,82,70,12,NA,5,NA,NA,NA,NA,NA,2001-11-01,"Washington"
8108,915,6,NA,532,NA,842,5726,83,NA,NA,83,71,11,NA,5,NA,NA,NA,NA,NA,2001-12-01,"Washington"
9318,936,15,NA,492,25,843,6838,165,48,NA,117,102,15,0,5,NA,NA,NA,NA,NA,2002-01-01,"Washington"
7664,703,6,NA,458,23,472,5871,129,21,NA,108,97,11,0,3,NA,NA,NA,NA,NA,2002-02-01,"Washington"
7833,920,7,NA,573,28,831,5309,159,51,NA,108,94,14,0,6,NA,NA,NA,NA,NA,2002-03-01,"Washington"
8755,513,5,NA,236,25,803,7031,138,35,NA,102,87,16,0,6,NA,NA,NA,NA,NA,2002-04-01,"Washington"
9330,416,4,NA,120,29,808,7820,128,28,NA,100,84,15,0,6,NA,NA,NA,NA,NA,2002-05-01,"Washington"
10768,174,7,NA,99,24,552,9776,131,33,NA,98,81,17,0,6,NA,NA,NA,NA,NA,2002-06-01,"Washington"
10090,422,5,NA,204,31,695,8600,128,36,NA,92,76,16,0,5,NA,NA,NA,NA,NA,2002-07-01,"Washington"
8514,871,3,NA,445,30,809,6216,134,31,NA,103,88,15,0,6,NA,NA,NA,NA,NA,2002-08-01,"Washington"
6859,907,5,NA,471,28,761,4534,147,34,NA,113,100,13,0,5,NA,NA,NA,NA,NA,2002-09-01,"Washington"
7362,950,3,NA,459,29,830,4938,147,26,NA,121,105,17,0,6,NA,NA,NA,NA,NA,2002-10-01,"Washington"
7895,899,8,NA,467,11,807,5543,155,33,NA,121,105,16,0,6,NA,NA,NA,NA,NA,2002-11-01,"Washington"
8376,951,6,NA,697,29,837,5692,165,42,NA,123,106,17,-5,5,NA,NA,NA,NA,NA,2002-12-01,"Washington"
8057,1013,5,NA,613,26,831,5399,164,28,NA,135,119,16,0,6,NA,NA,NA,NA,NA,2003-01-01,"Washington"
7493,865,8,NA,625,24,718,5106,147,35,NA,112,100,13,-5,3,NA,NA,NA,NA,NA,2003-02-01,"Washington"
8711,970,9,NA,651,25,452,6400,197,71,NA,126,109,17,0,6,NA,NA,NA,NA,NA,2003-03-01,"Washington"
9061,783,3,NA,205,24,793,7036,213,76,NA,137,119,18,-2,6,NA,NA,NA,NA,NA,2003-04-01,"Washington"
8862,846,4,NA,107,26,71,7625,168,42,NA,125,109,16,10,5,NA,NA,NA,NA,NA,2003-05-01,"Washington"
9006,865,5,NA,112,25,12,7802,187,74,NA,113,100,12,-3,2,NA,NA,NA,NA,NA,2003-06-01,"Washington"
8602,965,3,NA,852,20,667,5898,197,61,NA,136,126,10,0,0,NA,NA,NA,NA,NA,2003-07-01,"Washington"
8191,1030,2,NA,834,22,820,5291,186,55,NA,132,116,16,0,5,NA,NA,NA,NA,NA,2003-08-01,"Washington"
6776,865,4,NA,817,26,796,4112,151,33,NA,117,103,14,0,5,NA,NA,NA,NA,NA,2003-09-01,"Washington"
7829,1021,4,NA,852,26,817,4927,175,42,NA,133,117,16,0,6,NA,NA,NA,NA,NA,2003-10-01,"Washington"
8256,856,9,NA,925,27,807,5444,184,52,NA,132,116,16,-1,6,NA,NA,NA,NA,NA,2003-11-01,"Washington"
9251,1009,11,NA,490,31,831,6716,159,33,NA,126,109,17,-1,6,NA,NA,NA,NA,NA,2003-12-01,"Washington"
9012,961,24,NA,706,13,799,6299,210,70,NA,140,124,16,-5,6,NA,NA,NA,NA,NA,2004-01-01,"Washington"
8218,911,14,NA,883,24,780,5414,188,59,NA,128,113,16,-1,6,NA,NA,NA,NA,NA,2004-02-01,"Washington"
7722,942,11,NA,512,3,831,5210,208,85,NA,124,108,15,0,6,NA,NA,NA,NA,NA,2004-03-01,"Washington"
7791,962,0,NA,476,21,799,5346,184,62,NA,122,107,15,-3,6,NA,NA,NA,NA,NA,2004-04-01,"Washington"
8778,376,2,NA,463,26,787,6953,168,72,NA,96,81,15,-1,6,NA,NA,NA,NA,NA,2004-05-01,"Washington"
